institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue,ID,
Cardinal Stritch University,WI,Milwaukee,31798,1457,872-1023,http://www.stritch.edu,71,244,
Caribbean University,PR,Bayamon,,,N/A,//www.caribbean.edu/,,245,
Carleton College,MN,Northfield,57111,2097,1350-1530,http://www.carleton.edu,20,246,
Carleton University,,"Ottawa, Ontario",,,N/A,//www.carleton.ca/,,247,
Carlos Albizu University,PR,San Juan,,,N/A,//www.albizu.edu/,,248,
Carlos Albizu University--Miami,FL,Miami,,,N/A,http://www.albizu.edu/Admissions-and-Aid/How-to-Apply,,249,
Carlow University,PA,Pittsburgh,30528,1333,1000-1180,http://www.carlow.edu,87,250,
Carnegie Mellon University,PA,Pittsburgh,57119,6947,1450-1550,http://www.cmu.edu,17,251,
Carroll College,MT,Helena,36280,1322,1070-1270,http://www.carroll.edu,78,252,
Carroll University,WI,Waukesha,32960,2901,1050-1230,http://www.carrollu.edu/,69,253,
Carson-Newman University,TN,Jefferson City,28900,1774,960-1168,http://www.cn.edu,66,254,
Carthage College,WI,Kenosha,31500,2776,1020-1250,http://www.carthage.edu,68,255,
Cascadia College,WA,Bothell,9297,3757,N/A,//www.national.edu/locations/campuses/austin/,,256,
Case Western Reserve University,OH,Cleveland,50904,5262,1350-1520,http://www.case.edu,29,257,
Castleton University,VT,Castleton,28322,1890,930-1170,http://www.castleton.edu,87,258,
Catawba College,NC,Salisbury,30520,1325,910-1140,http://www.catawba.edu,52,259,
The Catholic University of America,DC,Washington,47746,3332,1140-1320,https://www.catholic.edu/,84,260,
Cazenovia College,NY,Cazenovia,35634,870,935-1142,http://www.cazenovia.edu,72,261,
Cedar Crest College,PA,Allentown,40374,1323,940-1170,http://www.cedarcrest.edu,57,262,
Cedarville University,OH,Cedarville,31322,3759,1130-1350,http://www.cedarville.edu,79,263,
CEM College--San Juan,PR,San Juan,,,N/A,,,264,
Centenary College of Louisiana,LA,Shreveport,37310,552,1050-1220,https://www.centenary.edu/,60,265,
Centenary University,NJ,Hackettstown,32998,1266,870-1090,http://www.centenaryuniversity.edu,67,266,
Central Baptist College,AR,Conway,16650,732,880-1026,//www.cbc.edu,60,267,
Central Christian College,KS,McPherson,28700,722,890-1120,//www.centralchristian.edu,46,268,
Central College,IA,Pella,,,950-1220,http://www.central.edu,70,269,
Central Connecticut State University,CT,New Britain,22870,9546,980-1170,http://www.ccsu.edu,67,270,
Centralia College,WA,Centralia,,,N/A,,,271,
Central Methodist University,MO,Fayette,24420,1148,950-1130,http://www.centralmethodist.edu,93,272,
Central Michigan University,MI,Mount Pleasant,12960,16432,1000-1200,http://www.cmich.edu,69,273,
Central Penn College,PA,Summerdale,18714,1023,N/A,//www.centralpenn.edu,72,274,
Central State University,OH,Wilberforce,8346,2099,710-880,http://www.centralstate.edu,57,275,
Central Washington University,WA,Ellensburg,22738,11222,930-1130,http://www.cwu.edu,78,276,
Centre College,KY,Danville,43000,1434,1190-1420,http://www.centre.edu,73,277,
Chadron State College,NE,Chadron,,,N/A,//www.csc.edu,,278,
Chamberlain University,IL,Downers Grove,,,N/A,http://www.chamberlain.edu,,279,
Chaminade University of Honolulu,HI,Honolulu,26134,1099,970-1130,https://chaminade.edu/,97,280,
Champlain College,VT,Burlington,41828,2129,1090-1280,http://www.champlain.edu,75,281,
Chapman University,CA,Orange,54924,7281,1190-1370,http://www.chapman.edu,54,282,
Charles R. Drew University of Medicine and Science,CA,Los Angeles,17440,169,850-1070,http://www.cdrewu.edu,35,283,
Charleston Southern University,SC,Charleston,25540,2945,1020-1190,https://www.charlestonsouthern.edu/,52,284,
Charter Oak State College,CT,New Britain,13467,1549,N/A,http://www.charteroak.edu,,285,
Chatham University,PA,Pittsburgh,38738,1105,1040-1250,http://www.chatham.edu,55,286,
Chestnut Hill College,PA,Philadelphia,37200,1293,940-1120,http://www.chc.edu,96,287,
Cheyney University of Pennsylvania,PA,Cheyney,,,N/A,http://www.cheyney.edu,39,288,
Chicago School of Professional Psychology at Los Angeles,CA,Los Angeles,,,N/A,,,289,
Chicago State University,IL,Chicago,,,840-1078,http://www.csu.edu,78,290,
Chipola College,FL,Marianna,19526,,N/A,http://www.chipola.edu,,291,
Chowan University,NC,Murfreesboro,25480,1395,810-1000,https://chowan.edu/,59,292,
Christ College of Nursing and Health Sciences,OH,Cincinnati,15085,,N/A,,,293,
Christian Brothers University,TN,Memphis,33840,1546,N/A,http://www.cbu.edu,56,294,
Christopher Newport University,VA,Newport News,27458,4857,1110-1280,http://www.cnu.edu,68,295,
Cincinnati Christian University,OH,Cincinnati,,,N/A,//www.ccuniversity.edu/,,296,
Cincinnati College of Mortuary Science,OH,Cincinnati,,,N/A,//www.ccms.edu,,297,
