institution.displayName,institution.state,institution.city,searchData.tuition.rawValue,searchData.enrollment.rawValue,searchData.testAvgs.displayValue.0.value,School Website,searchData.acceptanceRate.rawValue
Clarion University of Pennsylvania,PA,Clarion,15007,3942,950-1130,http://www.clarion.edu,94
Clark Atlanta University,GA,Atlanta,23672,3325,950-1110,http://www.cau.edu,52
Clark College,WA,Vancouver,,,N/A,//www.tacomacc.edu,
Clarke University,IA,Dubuque,34670,744,930-1096,https://www.clarke.edu,82
Clarkson College,NE,Omaha,,,N/A,//www.clarksoncollege.edu,
Clarkson University,NY,Potsdam,51128,3091,1160-1350,https://www.clarkson.edu/,71
Clarks Summit University,PA,Clarks Summit,24840,531,N/A,//www.bbc.edu,66
Clark University,MA,Worcester,47200,2304,1200-1390,http://www.clarku.edu,59
Clayton State University,GA,Morrow,19956,6597,870-1020,http://www.clayton.edu,54
Clear Creek Baptist Bible College,KY,Pineville,,,N/A,//www.ccbbc.edu,
Cleary University,MI,Howell,,,N/A,http://www.cleary.edu,
Clemson University,SC,Clemson,38112,19669,1220-1400,//www.nec.edu,47
Cleveland Institute of Art,OH,Cleveland,43305,670,1060-1230,http://www.cia.edu,73
Cleveland Institute of Music,OH,Cleveland,41487,231,N/A,http://www.cim.edu/,37
Cleveland State University,OH,Cleveland,15054,12248,1075-1270,http://www.csuohio.edu,88
Cleveland University--Kansas City,KS,Overland Park,,,N/A,//www.cleveland.edu/,
Clover Park Technical College,WA,Lakewood,,4059,N/A,//www.cptc.edu,
Coastal Carolina University,SC,Conway,27394,9917,1030-1170,http://www.coastal.edu,70
Coe College,IA,Cedar Rapids,45580,1422,1078-1300,http://www.coe.edu,67
Cogswell Polytechnical College,CA,San Jose,20800,595,1070-1260,//www. cogswell.edu,40
Coker College,SC,Hartsville,30196,1129,950-1160,http://www.coker.edu,63
Colby College,ME,Waterville,57280,2000,1350-1510,http://www.colby.edu,13
Colby-Sawyer College,NH,New London,43646,858,1030-1210,http://colby-sawyer.edu/,90
Colegio Universitario de San Juan,PR,San Juan,,,N/A,//www.pierce.ctc.edu,
Colgate University,NY,Hamilton,58045,2958,1320-1510,http://www.colgate.edu,25
College at Brockport--SUNY,NY,Brockport,18580,7057,1020-1180,http://www.brockport.edu,53
College for Creative Studies,MI,Detroit,,,N/A,//www.collegeforcreativestudies.edu,
College of Biblical Studies--Houston,TX,Houston,,,N/A,,
College of Central Florida,FL,Ocala,,,N/A,//www.cf.edu,
College of Charleston,SC,Charleston,33308,9880,1070-1250,http://www.cofc.edu,79
College of Coastal Georgia,GA,Brunswick,13406,3546,910-1100,http://www.ccga.edu,93
College of Idaho,ID,Caldwell,31755,946,1030-1213,https://www.collegeofidaho.edu,49
College of Menominee Nation,WI,Keshena,,,N/A,,
College of Mount St. Vincent,NY,Bronx,40980,1636,930-1100,http://www.mountsaintvincent.edu,78
College of New Jersey,NJ,Ewing,28901,7048,1160-1350,http://www.tcnj.edu,50
College of New Rochelle,NY,New Rochelle,,,880-1080,http://www.cnr.edu,68
College of Our Lady of the Elms,MA,Chicopee,37000,1151,970-1170,//www.elms.edu,67
